datetime,date,name,gain,less,p
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,0.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,0.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,1.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,1.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,2.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,2.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,3.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,3.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,4.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,4.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,5.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,5.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,6.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,6.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,7.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,7.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,8.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,8.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,9.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,9.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,10.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,10.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,11.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,11.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,12.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,12.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,13.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,13.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,14.0,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,14.5,1.0
2022-11-16T00:23:20.984464,2022-10-16,Petr Pavel,24.4,15.0,1.0
