datetime,date,name,gain,rank,p
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,1,0.0211
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,2,0.3302
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,3,1.0
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,4,1.0
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,6,1.0
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,7,1.0
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,8,1.0
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,24.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,1,0.8907
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,2,0.9927
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,3,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,4,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,6,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,7,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,8,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,31.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,1,0.0882
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,2,0.6771
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,3,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,4,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,6,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,7,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,8,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,26.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,1,0.0
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,2,0.0
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,3,0.0
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,4,0.3485
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,5,0.6828
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,6,0.8932
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,7,0.9936
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,8,0.9992
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,5.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,1,0.0
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,2,0.0
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,3,0.0
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,4,0.124
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,5,0.3927
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,6,0.7508
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,7,0.9769
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,8,0.9961
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,4.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,1,0.0
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,2,0.0
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,3,0.0
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,4,0.5024
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,5,0.7866
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,6,0.938
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,7,0.9963
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,8,0.9998
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,5.5,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,1,0.0
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,2,0.0
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,3,0.0
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,4,0.0251
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,5,0.1377
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,6,0.4099
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,7,0.9144
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,8,0.9814
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,3.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,1,0.0
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,2,0.0
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,3,0.0
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,4,0.0
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,5,0.0002
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,6,0.0076
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,7,0.1022
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,8,0.7155
2022-12-08T16:10:59.378448,2022-12-05,Tomáš Zima,1.0,9,1.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,1,0.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,2,0.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,3,0.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,4,0.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,5,0.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,6,0.0005
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,7,0.0166
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,8,0.308
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,0.5,9,1.0
