datetime,date,name1,name2,gain1,gain2,p
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Petr Pavel,21.6,24.4,0.8871
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Danuše Nerudová,21.6,14.9,0.0232
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Josef Středula,21.6,6.2,0.0
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Marek Hilšer,21.6,5.3,0.0
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Pavel Fischer,21.6,7.6,0.0001
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Petr Pavel,14.9,24.4,0.0895
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Josef Středula,14.9,6.2,0.0
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Marek Hilšer,14.9,5.3,0.0
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Pavel Fischer,14.9,7.6,0.0
2022-11-16T00:23:20.984464,2022-10-16,Josef Středula,Petr Pavel,6.2,24.4,0.0
2022-11-16T00:23:20.984464,2022-10-16,Josef Středula,Marek Hilšer,6.2,5.3,0.0
2022-11-16T00:23:20.984464,2022-10-16,Josef Středula,Pavel Fischer,6.2,7.6,0.0
2022-11-16T00:23:20.984464,2022-10-16,Marek Hilšer,Petr Pavel,5.3,24.4,0.0
2022-11-16T00:23:20.984464,2022-10-16,Marek Hilšer,Pavel Fischer,5.3,7.6,0.0
2022-11-16T00:23:20.984464,2022-10-16,Pavel Fischer,Petr Pavel,7.6,24.4,0.0001
