datetime,date,name1,name2,gain1,gain2,p
2022-01-21T00:10:23.361874,2022-01-30,Macron,Pécresse,24.77,16.01,0.371
2022-01-21T00:10:23.361874,2022-01-30,Macron,Zemmour,24.77,12.8,0.1055
2022-01-21T00:10:23.361874,2022-01-30,Macron,Mélenchon,24.77,9.96,0.0185
2022-01-21T00:10:23.361874,2022-01-30,Pécresse,Zemmour,16.01,12.8,0.0015
2022-01-21T00:10:23.361874,2022-01-30,Le Pen,Macron,16.71,24.77,0.479
2022-01-21T00:10:23.361874,2022-01-30,Le Pen,Pécresse,16.71,16.01,0.022
2022-01-21T00:10:23.361874,2022-01-30,Le Pen,Zemmour,16.71,12.8,0.002
2022-01-21T00:10:23.361874,2022-01-30,Le Pen,Mélenchon,16.71,9.96,0.0005
2022-01-21T00:10:23.361874,2022-01-30,Mélenchon,Pécresse,9.96,16.01,0.0
2022-01-21T00:10:23.361874,2022-01-30,Mélenchon,Zemmour,9.96,12.8,0.0
2022-01-21T00:12:24.644093,2022-01-30,Macron,Pécresse,24.77,16.01,0.383
2022-01-21T00:12:24.644093,2022-01-30,Macron,Zemmour,24.77,12.8,0.1005
2022-01-21T00:12:24.644093,2022-01-30,Macron,Mélenchon,24.77,9.96,0.0155
2022-01-21T00:12:24.644093,2022-01-30,Pécresse,Zemmour,16.01,12.8,0.0025
2022-01-21T00:12:24.644093,2022-01-30,Le Pen,Macron,16.71,24.77,0.4805
2022-01-21T00:12:24.644093,2022-01-30,Le Pen,Pécresse,16.71,16.01,0.013
2022-01-21T00:12:24.644093,2022-01-30,Le Pen,Zemmour,16.71,12.8,0.0045
2022-01-21T00:12:24.644093,2022-01-30,Le Pen,Mélenchon,16.71,9.96,0.0
2022-01-21T00:12:24.644093,2022-01-30,Mélenchon,Pécresse,9.96,16.01,0.0005
2022-01-21T00:12:24.644093,2022-01-30,Mélenchon,Zemmour,9.96,12.8,0.0
2022-01-21T00:39:17.373659,2022-01-30,Macron,Pécresse,24.77,16.01,0.395
2022-01-21T00:39:17.373659,2022-01-30,Macron,Zemmour,24.77,12.8,0.113
2022-01-21T00:39:17.373659,2022-01-30,Macron,Mélenchon,24.77,9.96,0.0145
2022-01-21T00:39:17.373659,2022-01-30,Pécresse,Zemmour,16.01,12.8,0.004
2022-01-21T00:39:17.373659,2022-01-30,Le Pen,Macron,16.71,24.77,0.45
2022-01-21T00:39:17.373659,2022-01-30,Le Pen,Pécresse,16.71,16.01,0.0205
2022-01-21T00:39:17.373659,2022-01-30,Le Pen,Zemmour,16.71,12.8,0.002
2022-01-21T00:39:17.373659,2022-01-30,Le Pen,Mélenchon,16.71,9.96,0.0005
2022-01-21T00:39:17.373659,2022-01-30,Mélenchon,Pécresse,9.96,16.01,0.0005
2022-01-21T00:39:17.373659,2022-01-30,Mélenchon,Zemmour,9.96,12.8,0.0
2022-01-21T06:14:10.014064,2022-01-30,Macron,Pécresse,24.77,16.01,0.3865
2022-01-21T06:14:10.014064,2022-01-30,Macron,Zemmour,24.77,12.8,0.0995
2022-01-21T06:14:10.014064,2022-01-30,Macron,Mélenchon,24.77,9.96,0.0125
2022-01-21T06:14:10.014064,2022-01-30,Pécresse,Zemmour,16.01,12.8,0.003
2022-01-21T06:14:10.014064,2022-01-30,Le Pen,Macron,16.71,24.77,0.47
2022-01-21T06:14:10.014064,2022-01-30,Le Pen,Pécresse,16.71,16.01,0.0235
2022-01-21T06:14:10.014064,2022-01-30,Le Pen,Zemmour,16.71,12.8,0.0045
2022-01-21T06:14:10.014064,2022-01-30,Le Pen,Mélenchon,16.71,9.96,0.0
2022-01-21T06:14:10.014064,2022-01-30,Mélenchon,Pécresse,9.96,16.01,0.0005
2022-01-21T06:14:10.014064,2022-01-30,Mélenchon,Zemmour,9.96,12.8,0.0
2022-01-21T10:34:26.278544,2022-01-30,Macron,Pécresse,24.77,16.01,0.3795
