datetime,date,duel,g1,p1
2022-01-20T23:17:07.025789,2022-01-18,Macron-Le Pen,0.568,0.8985
2022-01-20T23:17:07.025789,2022-01-18,Macron-Pécresse,0.54,0.7465
2022-01-20T23:17:07.025789,2022-01-18,Macron-Zemmour,0.627,0.9965
2022-01-20T23:44:34.931759,2022-01-18,Macron-Le Pen,0.568,0.897
2022-01-20T23:44:34.931759,2022-01-18,Macron-Pécresse,0.54,0.7405
2022-01-20T23:44:34.931759,2022-01-18,Macron-Zemmour,0.627,0.9975
2022-01-21T00:12:42.903577,2022-01-18,Macron-Le Pen,0.568,0.9045
2022-01-21T00:12:42.903577,2022-01-18,Macron-Pécresse,0.54,0.758
2022-01-21T00:12:42.903577,2022-01-18,Macron-Zemmour,0.627,0.9965
2022-01-21T00:39:32.512190,2022-01-18,Macron-Le Pen,0.568,0.8865
2022-01-21T00:39:32.512190,2022-01-18,Macron-Pécresse,0.54,0.758
2022-01-21T00:39:32.512190,2022-01-18,Macron-Zemmour,0.627,0.996
2022-01-21T06:14:30.674811,2022-01-18,Macron-Le Pen,0.568,0.8995
2022-01-21T06:14:30.674811,2022-01-18,Macron-Pécresse,0.54,0.7575
2022-01-21T06:14:30.674811,2022-01-18,Macron-Zemmour,0.627,0.9975
2022-01-21T10:49:49.884452,2022-01-18,Macron-Le Pen,0.568,0.893
2022-01-21T10:49:49.884452,2022-01-18,Macron-Pécresse,0.54,0.7695
2022-01-21T10:49:49.884452,2022-01-18,Macron-Zemmour,0.627,0.9975
2022-01-21T10:34:42.376280,2022-01-18,Macron-Le Pen,0.568,0.894
2022-01-21T10:34:42.376280,2022-01-18,Macron-Pécresse,0.54,0.767
2022-01-21T10:34:42.376280,2022-01-18,Macron-Zemmour,0.627,0.9975
2022-01-21T12:18:34.346293,2022-01-18,Macron-Le Pen,0.568,0.901
2022-01-21T12:18:34.346293,2022-01-18,Macron-Pécresse,0.54,0.7525
2022-01-21T12:18:34.346293,2022-01-18,Macron-Zemmour,0.627,0.9945
2022-01-21T18:13:47.486110,2022-01-18,Macron-Le Pen,0.568,0.906
2022-01-21T18:13:47.486110,2022-01-18,Macron-Pécresse,0.54,0.761
2022-01-21T18:13:47.486110,2022-01-18,Macron-Zemmour,0.627,0.997
2022-01-22T00:39:45.798791,2022-01-18,Macron-Le Pen,0.563,0.8755
2022-01-22T00:39:45.798791,2022-01-18,Macron-Pécresse,0.5329999999999999,0.7075
2022-01-22T00:39:45.798791,2022-01-18,Macron-Zemmour,0.627,0.998
2022-01-22T06:13:31.623307,2022-01-18,Macron-Le Pen,0.563,0.88
2022-01-22T06:13:31.623307,2022-01-18,Macron-Pécresse,0.5329999999999999,0.723
