condition_id,market_name,yes_token_id,no_token_id,rank,party
0xffcdfe69121723210a5dfa24041fce6f4b99469fc434afc99bb3ff7a270d7fb3,Will Ciprian Ciucu be the next Mayor of Bucharest?,38542318937261713370768373938243567843770050349388714685967041824824000126702,58465007764880967406704595497733164034979499062658878053853649531633348875657,1,Ciprian Ciucu
0xaa4803f1ebb163af02026e4689b4bb498900ab7c4dbe230c332cf12f218e959a,Will Daniel Baluta be the next Mayor of Bucharest?,56095110937473092933094824277964484084942972641750778050568282769752887796329,72992847585510962888042236960923333384674792106571572497287815344396118605196,1,Daniel Băluță
0xef5880e94212f24f17d45b756c9aa42bc7d39c3feda659fc22417adae5e22d00,Will Catalin Drula be the next Mayor of Bucharest?,64642655948358223575571547425018249231349946777377000631442573122880572365370,68300947085321673218644655338874564095460490165070562600317355618038877356246,1,Cătălin Drulă
0xc09535a2f39877de8b488263bcb271868e36a55d21bc25ba4106ec0f14b9754b,Will Anca Alexandrescu be the next Mayor of Bucharest?,99386075280254527148064635673463087863170499896517089212987524610555920898232,86660377453341701841335997055355703716212040339863343427060230233940534730149,1,Anca Alexandrescu
0xc44f2236e0eb3999636b533f0d378bad499329049daa4c0f1a2510d963b6c2da,Will Daniel Baluta finish second in the 2025 Bucharest mayoral by-election?,53007605363170015463437890586873616089159557281463897680271528626464452183134,32844675060001017296648503331607307973898713553949477266606001151902530167010,2,Daniel Băluță
0x1ababbf43cff90618b3cb3b2f80155b93ae9c3d7c54bcec264546a2187090da7,Will Ciprian Ciucu finish second in the 2025 Bucharest mayoral by-election?,34995483740103207887663125206956640469320016203201559912366478268506898117165,96694786189141476193527089246669162330871353278137616733526719220995551166250,2,Ciprian Ciucu
0xda9fba81cc94bbe63e8876087f083474068e18a9ea4d9393e289f401e8c03c2a,Will Anca Alexandrescu finish second in the 2025 Bucharest mayoral by-election?,112236001248813938507907441131028593427312167371936834740296310393620685919060,102991379976014624824060181270981289845130380093629147922588554518714865886300,2,Anca Alexandrescu
0x035a31006f1116eb5c17462ad4814b9b30a576f55c8397a9e454c4857266cd79,Will Catalin Drula finish second in the 2025 Bucharest mayoral by-election?,37811789856798338961899403131857198135153568605768282458003809316491454002850,77636375765353821377106250254404224187514366394895310121793624468800696721775,2,Cătălin Drulă
0x7ade676047c9b15c9e8a7ead24ae2a55935f00ebd3ead699b2c7f4dabeda52b5,Will Ana-Maria Ciceală be the next Mayor of Bucharest?,43673588163133189454609703155696310266785568746884651491730687433541026084094,75612847689247251584068815427951061330086481625052703617143048949128066104065,1,Ana Ciceală
0x6cde9d15ef0e71f9017aa1be3421ac73cb3972de301293819af9d15ac55515c7,Will Ana-Maria Ciceală finish second in the 2025 Bucharest mayoral by-election?,17549339482225070718655028795347583725096885842810611760224640643239853041454,8453262486279906724823735757317916762465063643625789962237034042496410345544,2,Ana Ciceală
0x27b5ea1aa9ad73639b49874b00cf7b60365fea00cf087203460033715d16014e,Will Ciprian Ciucu finish third in the 2025 Bucharest mayoral by-election?,14024554339073009356380935480081204191223155704687106450133554982231200095387,97676424278746424438203880603582725371844413300566280683794370078823877859860,3,Ciprian Ciucu
0x767ba2954a01ed922ee0a972ba378305e1273db23eb8131f0a6dfa6686ef4b10,Will Daniel Baluta finish third in the 2025 Bucharest mayoral by-election?,30499534702992509150904002220447063249272116607390678320051430177879006325204,79781915643455414420256708093640837248316377620683092074074501526012238023563,3,Daniel Băluță
0x2ff1f73078de189b29722856cb9307bb9460dd1869522ec287949fc54238d78b,Will Catalin Drula finish third in the 2025 Bucharest mayoral by-election?,99343601360416085885822018937975384602453850241476355837481627272814351311653,21563023864007102573168689796239531468787205282836174150441441947229376119502,3,Cătălin Drulă
0xf9fd44b7a530ee6769a47f1174f84582b34871fc94734925ec43a69679b4759f,Will Anca Alexandrescu finish third in the 2025 Bucharest mayoral by-election?,89254096417848399744352359494870017575561779043594699596386893646399100019938,29585527305483436407479442826851681071672702489079792225905191244967796957330,3,Anca Alexandrescu
0x561edb3811e6915e3e445eb7eda4d7ea8e33c932019cf6a8664c66613b05445e,Will Ana-Maria Ciceală finish third in the 2025 Bucharest mayoral by-election?,33856148123294347975111202645205910611879120993050199297494693081548648814551,104254270663405691333741465997344855663117078963018025204658110183840306537486,3,Ana Ciceală
