datetime,date,name1,name2,gain1,gain2,p
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,SaS,19.3698,5.9787,0.0005
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,SNS,19.3698,4.5956,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,SMER-SD,6.3295,19.3698,0.0008
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,SaS,6.3295,5.9787,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,SNS,6.3295,4.5956,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,SME Rodina,6.3295,6.3634,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,PS,6.3295,15.5895,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,Republika,6.3295,8.8862,0.0
2023-08-01T03:24:06.833912,2023-08-01,SNS,SaS,4.5956,5.9787,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,SMER-SD,2.0,19.3698,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,SaS,2.0,5.9787,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,OĽaNO,2.0,6.3295,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,SNS,2.0,4.5956,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,SME Rodina,2.0,6.3634,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,PS,2.0,15.5895,0.0
2023-08-01T03:24:06.833912,2023-08-01,Kotleba-ĽSNS,Republika,2.0,8.8862,0.0
2023-08-01T03:24:06.833912,2023-08-01,SME Rodina,SMER-SD,6.3634,19.3698,0.0011
2023-08-01T03:24:06.833912,2023-08-01,SME Rodina,SaS,6.3634,5.9787,0.0
2023-08-01T03:24:06.833912,2023-08-01,SME Rodina,SNS,6.3634,4.5956,0.0
2023-08-01T03:24:06.833912,2023-08-01,KDH,SMER-SD,5.9883,19.3698,0.0003
2023-08-01T03:24:06.833912,2023-08-01,KDH,SaS,5.9883,5.9787,0.0
2023-08-01T03:24:06.833912,2023-08-01,KDH,OĽaNO,5.9883,6.3295,0.0
