datetime,date,name1,name2,gain1,gain2,p
2023-04-09T21:52:16.290346,2023-04-09,Erdoğan,Kılıçdaroğlu,42,44,0.3848
2023-04-09T21:52:16.290346,2023-04-09,Erdoğan,Oğan,42,3,1.0
2023-04-09T21:52:16.290346,2023-04-09,Erdoğan,İnce,42,4,1.0
2023-04-09T21:52:16.290346,2023-04-09,Kılıçdaroğlu,Oğan,44,3,1.0
2023-04-09T21:52:16.290346,2023-04-09,Kılıçdaroğlu,İnce,44,4,1.0
2023-04-09T21:52:16.290346,2023-04-09,Oğan,İnce,3,4,0.3428
2023-04-09T21:56:52.604989,2023-04-09,Erdoğan,Kılıçdaroğlu,42,44,0.3834
2023-04-09T21:56:52.604989,2023-04-09,Erdoğan,Oğan,42,3,1.0
2023-04-09T21:56:52.604989,2023-04-09,Erdoğan,İnce,42,4,1.0
2023-04-09T21:56:52.604989,2023-04-09,Kılıçdaroğlu,Oğan,44,3,1.0
2023-04-09T21:56:52.604989,2023-04-09,Kılıçdaroğlu,İnce,44,4,1.0
2023-04-09T21:56:52.604989,2023-04-09,Oğan,İnce,3,4,0.3438
2023-04-09T22:00:33.245204,2023-04-09,Erdoğan,Kılıçdaroğlu,42,44,0.3815
2023-04-09T22:00:33.245204,2023-04-09,Erdoğan,Oğan,42,3,1.0
2023-04-09T22:00:33.245204,2023-04-09,Erdoğan,İnce,42,4,1.0
2023-04-09T22:00:33.245204,2023-04-09,Kılıçdaroğlu,Oğan,44,3,1.0
2023-04-09T22:00:33.245204,2023-04-09,Kılıçdaroğlu,İnce,44,4,1.0
2023-04-09T22:00:33.245204,2023-04-09,Oğan,İnce,3,4,0.3381
